signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:37.053035+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.055240+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.111577+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.114145+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.171489+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.174322+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.231115+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.234196+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.293329+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.295643+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.353925+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.356299+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.414716+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.417632+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.475476+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.477810+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.534329+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.536912+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.594538+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.601332+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.655377+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.658620+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.717149+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.719510+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.777876+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.780291+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.838473+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.840971+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.910538+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.913093+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:37.957929+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.960223+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.018545+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.020750+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.078430+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.080781+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.139498+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.141904+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.199351+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.201628+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.259934+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.262205+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.320640+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.322887+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.380101+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.382939+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.442262+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.444690+00:00,0.0,km/h,good,0x51,CAN1
